title_en,title_ar,category,file_url,file_name,description_en,description_ar,thumbnail_url
SPIDER,,datasheets,https://nlc.com.sa/datasheets/spider.pdf,spider.pdf,,,
SPIKE,,datasheets,https://nlc.com.sa/datasheets/spike.pdf,spike.pdf,,,
SPINE,,datasheets,https://nlc.com.sa/datasheets/spine.pdf,spine.pdf,,,
SPLASHY,,datasheets,https://nlc.com.sa/datasheets/splashy.pdf,splashy.pdf,,,
STARY,,datasheets,https://nlc.com.sa/datasheets/stary.pdf,stary.pdf,,,
STONY,,datasheets,https://nlc.com.sa/datasheets/stony.pdf,stony.pdf,,,
STREAM,,datasheets,https://nlc.com.sa/datasheets/stream.pdf,stream.pdf,,,
TERRALIGHT,,datasheets,https://nlc.com.sa/datasheets/terralight.pdf,terralight.pdf,,,
TILE,,datasheets,https://nlc.com.sa/datasheets/tile.pdf,tile.pdf,,,
TORRIS,,datasheets,https://nlc.com.sa/datasheets/torris.pdf,torris.pdf,,,
TWILIGHT,,datasheets,https://nlc.com.sa/datasheets/twilight.pdf,twilight.pdf,,,
VALLEY,,datasheets,https://nlc.com.sa/datasheets/valley.pdf,valley.pdf,,,
VEIL,,datasheets,https://nlc.com.sa/datasheets/veil.pdf,veil.pdf,,,
WP-02,,datasheets,https://nlc.com.sa/datasheets/wp-02.pdf,wp-02.pdf,,,
